player_name,salary,team_abbreviation,age,player_height,player_weight,country,draft_year,draft_round,draft_number,games_played,pts,reb,ast,offensive_reb_pct,defensive_reb_pct,usage_pct,true_shooting_pct,assist_pct
Sam Jacobson,,MIN,25.0,193.04,97.52228000000000,USA,1998,1,26,14,1.4,0.4,0.3,0.056000000000000000,0.067,0.14400000000000000,0.518,0.08200000000000000
Sam Mitchell,2100000,MIN,37.0,200.66,97.52228000000000,USA,1985,3,54,82,3.5,1.5,0.7,0.031,0.122,0.161,0.455,0.08900000000000000
Sam Perkins,2250000,IND,40.0,205.74,117.93392,USA,1984,1,4,64,3.8,2.6,0.6,0.037000000000000000,0.159,0.12300000000000000,0.499,0.066
Samaki Walker,,SAS,25.0,205.74,117.93392,USA,1996,1,9,61,5.3,4.0,0.5,0.083,0.209,0.185,0.524,0.053
Scot Pollard,3922000,SAC,26.0,210.82,120.20188,USA,1997,1,19,77,6.5,6.0,0.6,0.11700000000000000,0.184,0.146,0.53,0.046
Scott Burrell,29000,CHH,30.0,200.66,98.88305600000000,USA,1993,1,20,4,4.3,0.8,0.3,0.032,0.056000000000000000,0.196,0.507,0.048
Scott Padgett,730000,UTA,25.0,205.74,108.86208,USA,1999,1,28,27,2.1,1.4,0.2,0.17800000000000000,0.192,0.214,0.541,0.076
Scott Williams,4200000,MIL,33.0,208.28,104.32616,USA,Undrafted,Undrafted,Undrafted,66,6.1,5.5,0.5,0.08800000000000000,0.239,0.153,0.514,0.04
Scottie Pippen,13151000,POR,35.0,200.66,103.418976,USA,1987,1,5,64,11.3,5.2,4.6,0.04,0.14400000000000000,0.17800000000000000,0.541,0.212
Sean Colson,83000,HOU,25.0,182.88,79.3786,USA,Undrafted,Undrafted,Undrafted,13,1.2,0.5,0.8,0.04,0.111,0.264,0.29100000000000000,0.455
Sean Elliott,5333000,SAS,33.0,203.2,99.79024,USA,1989,1,3,52,7.9,3.3,1.6,0.016,0.129,0.16400000000000000,0.544,0.115
Sean Rooks,2160000,LAC,31.0,208.28,117.93392,USA,1992,2,30,82,5.4,3.7,0.9,0.071,0.146,0.157,0.48700000000000000,0.081
Shammond Williams,550000,SEA,26.0,185.42,91.171992,USA,1998,2,34,69,6.8,1.9,2.8,0.031,0.091,0.18,0.569,0.242
Shandon Anderson,2200000,HOU,27.0,198.12,95.25432,USA,1996,2,54,82,8.7,4.1,2.3,0.036000000000000000,0.12300000000000000,0.154,0.528,0.12300000000000000
Shaquille O'Neal,19285000,LAL,29.0,215.9,142.88148,USA,1992,1,1,74,28.7,12.7,3.7,0.11600000000000000,0.247,0.318,0.574,0.177
Shareef Abdur-Rahim,10125000,VAN,24.0,205.74,104.32616,USA,1996,1,3,81,20.5,9.1,3.1,0.063,0.195,0.245,0.5490000000000000,0.142
Shawn Bradley,8370000,DAL,29.0,228.6,120.20188,USA,1993,1,2,82,7.1,7.4,0.5,0.092,0.228,0.14300000000000000,0.551,0.029000000000000000
Shawn Kemp,11720000,POR,31.0,208.28,127.00576000000000,USA,1989,1,17,68,6.5,3.8,1.0,0.071,0.221,0.243,0.469,0.106
Shawn Marion,1662000,PHX,23.0,200.66,97.52228000000000,USA,1999,1,9,79,17.3,10.7,2.0,0.086,0.254,0.222,0.532,0.102
Shawnelle Scott,548000,SAS,29.0,210.82,113.398,USA,1994,2,43,27,1.6,1.9,0.1,0.185,0.235,0.21100000000000000,0.424,0.051
Sherman Douglas,,NJN,34.0,182.88,81.64656,USA,1989,2,28,59,5.7,1.3,2.4,0.023,0.06,0.185,0.478,0.243
Slava Medvedenko,,LAL,22.0,208.28,113.398,Ukraine,Undrafted,Undrafted,Undrafted,7,4.6,1.3,0.3,0.026000000000000000,0.16,0.337,0.528,0.087
Soumaila Samake,316000,NJN,23.0,213.36,101.604608,Mali,2000,2,36,34,1.4,1.6,0.0,0.10400000000000000,0.161,0.12300000000000000,0.39300000000000000,0.008
Stacey Augmon,548000,POR,32.0,203.2,92.98636000000000,USA,1991,1,9,66,4.7,2.4,1.5,0.062,0.09300000000000000,0.139,0.511,0.131
Stephen Jackson,316000,NJN,23.0,203.2,98.88305600000000,USA,1997,2,42,77,8.2,2.7,1.8,0.027000000000000000,0.11700000000000000,0.20600000000000000,0.503,0.15
Stephon Marbury,10130000,NJN,24.0,187.96,81.64656,USA,1996,1,4,67,23.9,3.1,7.6,0.023,0.069,0.293,0.54,0.389
Steve Francis,3246000,HOU,24.0,190.5,87.543256,USA,1999,1,2,80,19.9,6.9,6.5,0.071,0.129,0.24100000000000000,0.563,0.278
